               Token      Frequency      Code
                   ,           2678         1
                 the           1755         2
                   .           1591         3
                 and            979         4
                  of            932         5
                   a            918         6
                   '            780         7
                  to            732         8
                   -            626         9
                  in            593        10
                   I            524        11
                   ;            469        12
                that            406        13
                 his            401        14
                  it            290        15
                 was            289        16
                  he            279        17
                with            246        18
                   s            239        19
                  is            233        20
                  as            216        21
                 for            211        22
                  at            198        23
                 all            194        24
                this            190        25
                 him            179        26
                  me            172        27
                 not            168        28
                from            162        29
                  on            157        30
                 but            153        31
                  by            145        32
                 you            143        33
                   ?            142        34
                  be            140        35
                   !            136        36
                  my            126        37
               there            123        38
                 one            117        39
                 had            116        40
                 But            109        41
                 out            108        42
                  or            106        43
                  so            105        44
                like             98        45
                were             98        46
                   "             93        47
                have             92        48
                  up             92        49
                 now             90        50
                what             89        51
                  no             86        52
                 sea             86        53
                they             86        54
                 The             85        55
                upon             83        56
                  an             82        57
                then             81        58
            Queequeg             81        59
                into             81        60
               about             78        61
               which             77        62
               whale             77        63
                more             75        64
                over             75        65
                  we             73        66
                when             72        67
                 THE             70        68
                 man             69        69
               their             68        70
              little             68        71
                 old             68        72
                 who             67        73
                some             66        74
                ship             64        75
                 are             63        76
               Jonah             62        77
               these             59        78
                them             58        79
                 And             57        80
                  He             56        81
              though             55        82
               would             54        83
                  if             54        84
               could             54        85
                 bed             53        86
                than             52        87
               other             52        88
                been             51        89
                   *             51        90
                  do             51        91
                said             51        92
                down             50        93
                head             50        94
                MOBY             49        95
                very             49        96
                  It             49        97
                DICK             49        98
                 see             48        99
                only             48       100
                 God             47       101
                will             47       102
              seemed             47       103
               great             47       104
                  ye             46       105
                here             45       106
               being             44       107
                   t             44       108
                last             44       109
               never             44       110
               first             43       111
              before             42       112
                such             42       113
             thought             42       114
                time             42       115
                   A             41       116
               world             41       117
                 did             40       118
                most             40       119
                 yet             40       120
                 her             40       121
                much             39       122
                 our             39       123
                  us             39       124
             himself             38       125
                room             38       126
                 how             38       127
                long             37       128
          harpooneer             37       129
                 way             37       130
               still             37       131
                 own             36       132
               night             36       133
                must             35       134
                your             35       135
                 say             35       136
                 off             34       137
               those             34       138
               Whale             33       139
                  In             33       140
                 two             33       141
                 any             33       142
               round             33       143
                same             32       144
                  go             32       145
                take             31       146
               water             31       147
               again             30       148
             captain             30       149
                made             30       150
               where             29       151
               among             29       152
                good             29       153
                sort             29       154
                hand             29       155
                 For             28       156
             whaling             28       157
               every             28       158
                 saw             28       159
                side             28       160
                 too             27       161
           Nantucket             27       162
                 its             27       163
                came             27       164
              toward             27       165
               There             26       166
                well             26       167
               after             26       168
                many             26       169
              should             26       170
                 can             26       171
           something             25       172
                thou             25       173
              myself             25       174
                ever             25       175
                   (             25       176
            landlord             25       177
                What             25       178
               place             25       179
                 New             25       180
                   1             24       181
                back             24       182
                land             24       183
             without             24       184
                come             24       185
              things             24       186
                 has             24       187
               light             23       188
               might             23       189
                away             23       190
              whales             23       191
                just             22       192
                tell             22       193
                look             22       194
                   )             22       195
             through             22       196
             against             22       197
                soon             21       198
              almost             21       199
               sleep             21       200
                door             21       201
                 men             21       202
                face             21       203
                till             21       204
               thing             20       205
               think             20       206
             looking             20       207
                even             19       208
             Captain             19       209
               going             19       210
              enough             19       211
                told             19       212
               found             19       213
                   4             19       214
                  11             19       215
              rather             19       216
                 sir             19       217
                make             19       218
                eyes             19       219
                 may             18       220
                  So             18       221
                  At             18       222
                fire             18       223
               under             18       224
                full             18       225
              looked             18       226
               young             18       227
                 day             18       228
                   5             18       229
                 Now             18       230
              having             17       231
             nothing             17       232
                know             17       233
               three             17       234
               small             17       235
               black             17       236
                high             17       237
                 get             17       238
                   :             17       239
                 air             17       240
             between             17       241
              people             17       242
              island             17       243
              moment             17       244
             CHAPTER             16       245
                seen             16       246
                They             16       247
                half             16       248
               hands             16       249
                open             16       250
                part             16       251
             whether             16       252
                feet             16       253
             perhaps             16       254
                once             16       255
              turned             16       256
             harpoon             16       257
                 ing             16       258
               stood             15       259
               heads             15       260
                 she             15       261
                  We             15       262
                whom             15       263
                 put             15       264
             morning             15       265
              voyage             15       266
                went             15       267
                four             15       268
               house             15       269
                 far             15       270
                   e             15       271
                With             15       272
                poor             15       273
                 arm             15       274
               while             15       275
                hard             15       276
                   /             15       277
             another             15       278
                town             15       279
               large             15       280
                boat             15       281
               years             15       282
             Bedford             14       283
              savage             14       284
                 hat             14       285
                dead             14       286
                 sat             14       287
                felt             14       288
               storm             14       289
               ocean             14       290
                  am             14       291
            tomahawk             14       292
                cold             14       293
                true             14       294
                 lay             14       295
                fish             14       296
                each             14       297
               began             14       298
           shipmates             14       299
                 few             14       300
                took             14       301
                This             14       302
                sure             14       303
              Bildad             14       304
               right             13       305
                 eye             13       306
                sail             13       307
              indeed             13       308
                days             13       309
               stand             13       310
               table             13       311
             strange             13       312
            together             13       313
                feel             13       314
             streets             13       315
                  No             13       316
               ships             13       317
               sight             13       318
              Hussey             13       319
              fellow             13       320
                  As             13       321
              pulpit             13       322
               craft             13       323
              better             13       324
             because             13       325
                 His             13       326
             certain             13       327
                fine             13       328
                deep             13       329
               order             12       330
              seeing             12       331
                wild             12       332
                near             12       333
              called             12       334
              living             12       335
             sailors             12       336
                seas             12       337
               since             12       338
               whole             12       339
                give             12       340
             passage             12       341
                best             12       342
                  OF             12       343
                  To             12       344
               story             12       345
                 don             12       346
                 why             12       347
           Leviathan             12       348
               Peleg             12       349
               along             12       350
                 let             12       351
               whose             11       352
                does             11       353
               heart             11       354
                mine             11       355
                 bit             11       356
                pipe             11       357
               boots             11       358
               earth             11       359
               times             11       360
               mouth             11       361
            business             11       362
                deck             11       363
                find             11       364
             country             11       365
               heard             11       366
                 set             11       367
                mind             11       368
               green             11       369
              always             11       370
              rolled             11       371
                 Yes             11       372
              manner             10       373
              vessel             10       374
             however             10       375
                 How             10       376
              cannot             10       377
               forth             10       378
              corner             10       379
              lesson             10       380
              sailor             10       381
               quite             10       382
                seem             10       383
                also             10       384
                gone             10       385
                says             10       386
               board             10       387
                late             10       388
                 low             10       389
              second             10       390
            sleeping             10       391
                 INN             10       392
          particular             10       393
                dark             10       394
              around             10       395
               noble             10       396
              length             10       397
              strong             10       398
              itself             10       399
                Lord             10       400
                That             10       401
                wide             10       402
                name             10       403
               chest             10       404
                next             10       405
                both             10       406
            cannibal             10       407
                 got             10       408
                  On             10       409
                Yojo             10       410
              placed             10       411
              Indian             10       412
              coming             10       413
               floor             10       414
                 sun             10       415
                thus             10       416
                 Why              9       417
                done              9       418
              bottom              9       419
                 bag              9       420
             besides              9       421
                 All              9       422
              within              9       423
                home              9       424
               white              9       425
               coast              9       426
              slowly              9       427
               shall              9       428
               teeth              9       429
                 Mrs              9       430
                mean              9       431
               known              9       432
                left              9       433
               seems              9       434
                life              9       435
              reason              9       436
                 try              9       437
                 oil              9       438
                lamp              9       439
               short              9       440
              Pequod              9       441
                knew              9       442
                self              9       443
                goes              9       444
                soul              9       445
              either              9       446
               miles              9       447
                clam              9       448
                coat              9       449
                King              9       450
               pagan              8       451
              making              8       452
              ashore              8       453
              thrown              8       454
               least              8       455
                   o              8       456
                 Yet              8       457
            stranger              8       458
                 ice              8       459
          especially              8       460
                word              8       461
             Ishmael              8       462
                foot              8       463
                grow              8       464
               money              8       465
                hear              8       466
                kill              8       467
                 Not              8       468
                want              8       469
                 VOL              8       470
            possible              8       471
                 Who              8       472
                 You              8       473
              window              8       474
              supper              8       475
            yourself              8       476
               bench              8       477
                SHIP              8       478
                body              8       479
              answer              8       480
             SPOUTER              8       481
           Christian              8       482
              seamen              8       483
                 cod              8       484
             leaving              8       485
               Sperm              8       486
              mighty              8       487
            straight              8       488
            thousand              8       489
              matter              8       490
                  Oh              8       491
                 new              8       492
                mere              8       493
                rest              8       494
              Coffin              8       495
                wall              8       496
              Father              8       497
             meaning              8       498
                stop              8       499
               parts              8       500
                else              8       501
             beneath              8       502
                fear              8       503
               image              7       504
             present              7       505
                vast              7       506
               death              7       507
              Mapple              7       508
             curious              7       509
               stove              7       510
                 run              7       511
              seated              7       512
          altogether              7       513
            answered              7       514
                help              7       515
            anything              7       516
            Tarshish              7       517
                 bar              7       518
                turn              7       519
             sitting              7       520
               shore              7       521
                fact              7       522
               point              7       523
               brown              7       524
            throwing              7       525
               quick              7       526
                idol              7       527
              eyeing              7       528
              broken              7       529
                When              7       530
                work              7       531
                  By              7       532
             plainly              7       533
              taking              7       534
               pilot              7       535
                  If              7       536
              caught              7       537
                mast              7       538
              hearts              7       539
              thinks              7       540
            thinking              7       541
              ladder              7       542
               boats              7       543
             Pacific              7       544
               comes              7       545
              SERMON              7       546
               entry              7       547
                 top              7       548
                jaws              7       549
               WHALE              7       550
                  IN              7       551
                Such              7       552
                   D              7       553
                idea              7       554
            whalemen              7       555
             chowder              7       556
             feeling              7       557
              person              7       558
                Cape              7       559
            EXTRACTS              7       560
               bound              7       561
               cried              7       562
               smoke              7       563
                view              7       564
                form              7       565
               bones              7       566
               broad              7       567
                 lie              7       568
               devil              7       569
            Landlord              7       570
                 jaw              7       571
                arms              7       572
                 joy              7       573
              heaven              7       574
                nigh              7       575
             clothes              7       576
              killed              7       577
              Quaker              7       578
               cabin              7       579
                bows              7       580
               drawn              7       581
                 ere              7       582
                bowl              7       583
                sign              7       584
              silent              7       585
               grand              7       586
                 art              7       587
                gale              7       588
             covered              7       589
             somehow              7       590
                book              7       591
                warm              7       592
             quietly              6       593
                Well              6       594
            previous              6       595
                bold              6       596
              passed              6       597
                huge              6       598
                Look              6       599
               ended              6       600
                lost              6       601
            swinging              6       602
            interest              6       603
                bear              6       604
                 red              6       605
           certainly              6       606
             Spouter              6       607
                 cut              6       608
              Whales              6       609
             getting              6       610
               taken              6       611
               glass              6       612
            shavings              6       613
               Peter              6       614
               quiet              6       615
             leaning              6       616
                 ain              6       617
             howling              6       618
               close              6       619
               stone              6       620
               wharf              6       621
              behind              6       622
                kept              6       623
                  BY              6       624
                live              6       625
                hung              6       626
                wood              6       627
               fresh              6       628
               speak              6       629
             whereas              6       630
                port              6       631
                hour              6       632
              middle              6       633
               queer              6       634
                 sin              6       635
             picture              6       636
                kind              6       637
            forehead              6       638
              others              6       639
               alone              6       640
                mate              6       641
              Voyage              6       642
              stands              6       643
             service              6       644
                used              6       645
                 ago              6       646
                less              6       647
              father              6       648
                city              6       649
              bright              6       650
                Quee              6       651
                queg              6       652
              street              6       653
               chief              6       654
            whaleman              6       655
                case              6       656
                   d              6       657
             smoking              6       658
                  Is              6       659
              saying              6       660
             squares              6       661
                   ^              6       662
            darkness              6       663
              yellow              6       664
                Then              6       665
                  eh              6       666
            mariners              6       667
             instant              6       668
               truth              6       669
                   c              6       670
             carried              6       671
                wind              6       672
                 pro              6       673
               doubt              6       674
                 Let              6       675
                hold              6       676
              oceans              6       677
               shirt              6       678
             However              6       679
              pretty              6       680
           breakfast              6       681
                 com              6       682
            entirely              6       683
          marvellous              6       684
              nearly              6       685
                 Woe              6       686
                 ten              6       687
                Some              6       688
             friends              6       689
               hours              6       690
             heavens              6       691
                legs              6       692
                 Sir              5       693
           ponderous              5       694
               Still              5       695
               stern              5       696
                 woe              5       697
                ones              5       698
               voice              5       699
              sleeps              5       700
               armed              5       701
               Globe              5       702
           concluded              5       703
               fifty              5       704
                snow              5       705
                deal              5       706
                 mat              5       707
               South              5       708
              nature              5       709
                Like              5       710
               turns              5       711
             compare              5       712
              became              5       713
             lighted              5       714
               above              5       715
              glance              5       716
               heavy              5       717
            bulwarks              5       718
              jacket              5       719
           commenced              5       720
            grinning              5       721
                sell              5       722
                Horn              5       723
             evening              5       724
           following              5       725
              famous              5       726
                flew              5       727
               masts              5       728
           shoulders              5       729
             Nothing              5       730
              Sunday              5       731
                save              5       732
          concerning              5       733
                show              5       734
           civilised              5       735
             further              5       736
              upward              5       737
            merchant              5       738
             entered              5       739
                  My              5       740
                sand              5       741
                pair              5       742
               ivory              5       743
                hair              5       744
             Delight              5       745
                mark              5       746
                iron              5       747
             engaged              5       748
             delight              5       749
           passenger              5       750
        astonishment              5       751
             several              5       752
            larboard              5       753
           starboard              5       754
             blanket              5       755
              animal              5       756
                 har              5       757
                blue              5       758
               sound              5       759
               mates              5       760
              sought              5       761
             telling              5       762
              unless              5       763
                Upon              5       764
               added              5       765
              candle              5       766
                vain              5       767
              formed              5       768
            speaking              5       769
              desire              5       770
               lofty              5       771
             suppose              5       772
              wooden              5       773
                keep              5       774
             voyages              5       775
           Shipmates              5       776
                  hi              5       777
            LOOMINGS              5       778
                boom              5       779
          Euroclydon              5       780
              tossed              5       781
              summer              5       782
              simple              5       783
              houses              5       784
                 AND              5       785
           overboard              5       786
                   S              5       787
              centre              5       788
             knowing              5       789
              served              5       790
                  Do              5       791
                 pay              5       792
                  Ay              5       793
               negro              5       794
            departed              5       795
           ourselves              5       796
                tall              5       797
           fashioned              5       798
                 con              5       799
          Christians              5       800
                 Can              5       801
                 dim              5       802
               makes              5       803
               cross              5       804
        considerable              5       805
              bitter              5       806
              height              5       807
                king              5       808
              become              5       809
                 One              5       810
               pains              5       811
              leaves              5       812
             swallow              5       813
                thee              5       814
              landed              5       815
               purse              5       816
               clock              5       817
